Fish_Name,Market,Standard,Catch,Ave_Value,Fish_Body_Composition_L,Fish_Body_Composition_M,Fish_Body_Composition_S,Fish_Body_Composition_XS,Date
生マダイ(天然),松浦,生鮮,0.3,214,,,,,2021-05-18
生にべ・ぐち類,石巻,生鮮,0.3,36,,,,,2021-05-18
生ホウボウ(ｶﾅｶﾞｼﾗ含),石巻,生鮮,0.3,32,,,,,2021-05-18
生アンコウ,石巻,生鮮,0.3,45,,,,,2021-05-18
生ウマズラハギ,石巻,生鮮,0.3,237,,,,,2021-05-18
生本マス（サクラマス）,釜石,生鮮,0.3,689,,,,,2021-05-18
生かます類,松浦,生鮮,0.4,198,,,,,2021-05-18
生スマ(ﾔｲﾄ),枕崎,生鮮,0.4,216,,,,,2021-05-18
生ヒラメ(天然),石巻,生鮮,0.4,485,,,,,2021-05-18
生マアジ,魚津,生鮮,0.4,329,,69,21,10,2021-05-18
生本マス（サクラマス）,田野畑,生鮮,0.4,690,,,,,2021-05-18
生ブリ(天然：ｲﾅﾀﾞ･ﾜﾗｻ含),魚津,生鮮,0.5,348,16,78,,6,2021-05-18
生ホッケ,田野畑,生鮮,0.5,49,,,,,2021-05-18
生たこ類,八木,生鮮,0.6,600,,,,,2021-05-18
