水揚日,漁業名,荷主コード,荷主名,組合員区分,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価,仕切税抜金額
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,704,ふくらぎ,10,大中　　,0,3,60,180
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,27,その他魚類,2726,かわはぎ,0,,10,97,165,16005
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,4,大　　　,0,23,400,9200
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,5,中　　　,0,25.5,300,7650
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,6,小　　　,0,19,250,4750
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,3,さば,301,さば,10,大中　　,0,44,250,11000
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,3,さば,301,さば,62,キズ　　,1,720,15,10800
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,6,小　　　,0,32.5,280,9100
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,7,２小　　,0,17,180,3060
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,8,３小　　,0,12.5,70,875
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1301,まぞい,7,２小　　,0,2,200,400
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1301,まぞい,8,３小　　,0,3.3,100,330
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1310,がや,0,,0,15,150,2250
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,27,その他魚類,2736,さわら,62,キズ　　,12,6.5,50,325
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,8,たら,801,まだら,5,中　　　,0,2,60,120
