水揚日,荷主コード,荷主名,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価区分名,仕切税抜金額
20140521,54079,ツガイナカ中村漁場　１号,21,たこ,2104,柳だこ,0,,0,2,キロ,792
20140521,54079,ツガイナカ中村漁場　１号,27,その他魚類,2720,かながしら,0,,0,1,キロ,5
20140521,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,5,7,キロ,4200
20140522,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大　　　,1,7,キロ,210
20140522,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,1,0.7,キロ,280
20140522,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,5,キロ,450
20140522,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,0,,1,1.4,キロ,420
20140522,54079,ツガイナカ中村漁場　１号,27,その他魚類,1401,あぶらこ,6,小　　　,1,0.2,キロ,40
20140522,54079,ツガイナカ中村漁場　１号,20,いか,2099,その他いか,0,ボウズイカ,1,2,キロ,800
20140522,54079,ツガイナカ中村漁場　１号,18,あんこう,2708,あんこう,0,,1,8,キロ,3200
20140523,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,1,0.8,キロ,320
20140523,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,1,キロ,80
20140523,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,0,,1,0.5,キロ,100
20140523,54079,ツガイナカ中村漁場　１号,21,たこ,2104,柳だこ,0,,0,5,キロ,1980
20140523,54079,ツガイナカ中村漁場　１号,27,その他魚類,2703,とうべつかじか,0,,1,1.5,キロ,15
20140523,54079,ツガイナカ中村漁場　１号,27,その他魚類,2736,さわら,0,,1,2.5,キロ,1875
20140523,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,34,４ｋ台　,1,4.2,キロ,8820
20140525,54079,ツガイナカ中村漁場　１号,12,ひらめ,1201,ひらめ,63,スレ　　,1,1.5,キロ,1500
20140525,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,33,３Ｋ台　,1,3.3,キロ,5280
20140525,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,32,２Ｋ台　,1,2.3,キロ,1840
20140525,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,4,9.6,キロ,8160
20140525,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,6,8.4,キロ,5040
20140525,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,1,1,キロ,450
20140525,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,134,大キズ,1,2.2,キロ,1100
20140525,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,1,0.6,キロ,120
20140525,54079,ツガイナカ中村漁場　１号,2,ます,202,あおます,62,キズ　　,1,0.5,キロ,15
20140525,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,1,2.5,キロ,300
20140525,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,1,キロ,60
20140525,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,1,0.2,キロ,60
20140525,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,0,,1,1.6,キロ,400
20140525,54079,ツガイナカ中村漁場　１号,27,その他魚類,1401,あぶらこ,6,小　　　,1,0.2,キロ,30
20140525,54079,ツガイナカ中村漁場　１号,27,その他魚類,2703,とうべつかじか,0,,2,2.5,キロ,25
20140526,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,0,,1,1.8,キロ,360
20140526,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,1,0.6,キロ,300
20140526,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,0,0.5,キロ,50
20140526,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,1,2,キロ,1700
20140526,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,1,1.5,キロ,600
20140527,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,0,0.5,キロ,100
20140527,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,1,0.3,キロ,60
20140527,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,135,中キズ,1,1.2,キロ,300
20140527,54079,ツガイナカ中村漁場　１号,11,かれい,1117,みずくさがれい,0,,1,0.2,キロ,40
20140527,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,1,0.8,キロ,320
20140527,54079,ツガイナカ中村漁場　１号,18,あんこう,2708,あんこう,0,,1,1.5,キロ,45
20140527,54079,ツガイナカ中村漁場　１号,20,いか,2099,その他いか,0,ボウズイカ,1,3,キロ,900
