Fish_Name_JP_in_Data,Fish_Name_JP,Scientific_Name,Fish_Name_EN
シュモクザメ,シュモクザメ,Sphyrnidae,hammerhead_shark
まぐろ類,マグロ,Thunnus,tuna
アカヤガラ,アカヤガラ,Fistularia_petimba,red_cornetfish
その他のたら,その他のタラ,none,cod_other
その他の塩さけます,その他のサケ・マス,none,salted_salmon_trout_other
クサフグ,クサフグ,Takifugu_niphobles,samll_puffer
コブダイ,コブダイ,Semicossyphus_reticulatus,bulgyhead_wrasse
キシエビ,キシエビ,Metapenaeopsis_dalei,kisi_shrimp
クサウオ,クサウオ,Liparis_tanakae,tanaka's_snailfish
ねずっぽ類,ネズッポ,Callionymidae,dragonets
ヒメコウイカ,ヒメコウイカ,Sepia_kobiensis,kobi_cuttlefish
